id,opened_ts,slug,market_id,side,entry_price,initial_size,remaining_size,entry_edge,entry_note,entry_source,trade_token_id,closed_ts,close_price,close_note,realized_pnl,result,trigger_reason,failure_reason_if_loss
1,2026-03-01T16:04:53.659182+00:00,btc-updown-5m-1772380800,1466916,BUY_NO,0.13,76.92307692307692,76.92307692307692,0.67,edge=0.6700 spread=0.02 depth=22342.6 imbalance=-0.88 source=clob,clob,66582886139826077296219995916576410842420903995365655215797599108871910258215,2026-03-01T16:04:53.691555+00:00,0.050000000000000044,auto_stop_loss,-6.153846153846151,LOSS,edge=0.6700 spread=0.02 depth=22342.6 imbalance=-0.88 source=clob,Stopped out before reversal / adverse move exceeded stop rule
2,2026-03-01T16:05:02.811824+00:00,btc-updown-5m-1772381100,1466932,BUY_NO,0.5,20.0,20.0,0.30000000000000004,edge=0.3000 spread=0.01 depth=4436.4 imbalance=0.29 source=clob,clob,12391244219309511238643641958729254867817868679090119766663379978049654440306,2026-03-01T16:07:22.965187+00:00,0.5900000000000001,auto_take_profit,1.8000000000000016,WIN,edge=0.3000 spread=0.01 depth=4436.4 imbalance=0.29 source=clob,
3,2026-03-01T16:06:07.782678+00:00,btc-updown-5m-1772381100,1466932,BUY_NO,0.49,20.408163265306122,20.408163265306122,0.31000000000000005,edge=0.3100 spread=0.02 depth=2812.2 imbalance=-0.32 source=clob,clob,12391244219309511238643641958729254867817868679090119766663379978049654440306,2026-03-01T16:07:22.965187+00:00,0.5900000000000001,auto_take_profit,2.040816326530614,WIN,edge=0.3100 spread=0.02 depth=2812.2 imbalance=-0.32 source=clob,
4,2026-03-01T16:06:44.156671+00:00,btc-updown-5m-1772381100,1466932,BUY_NO,0.48,20.833333333333336,20.833333333333336,0.32000000000000006,edge=0.3200 spread=0.01 depth=3585.7 imbalance=0.29 source=clob,clob,12391244219309511238643641958729254867817868679090119766663379978049654440306,2026-03-01T16:07:22.620363+00:00,0.5700000000000001,auto_take_profit,1.8750000000000018,WIN,edge=0.3200 spread=0.01 depth=3585.7 imbalance=0.29 source=clob,
5,2026-03-01T16:07:23.006162+00:00,btc-updown-5m-1772381100,1466932,BUY_NO,0.6,16.666666666666668,16.666666666666668,0.20000000000000007,edge=0.2000 spread=0.01 depth=4105.4 imbalance=0.67 source=clob,clob,12391244219309511238643641958729254867817868679090119766663379978049654440306,2026-03-01T16:07:50.141738+00:00,0.71,auto_take_profit,1.8333333333333333,WIN,edge=0.2000 spread=0.01 depth=4105.4 imbalance=0.67 source=clob,
6,2026-03-01T16:07:50.177309+00:00,btc-updown-5m-1772381100,1466932,BUY_NO,0.72,13.88888888888889,13.88888888888889,0.08000000000000007,edge=0.0800 spread=0.01 depth=3304.8 imbalance=-0.40 source=clob,clob,12391244219309511238643641958729254867817868679090119766663379978049654440306,2026-03-01T16:10:05.390981+00:00,0.48,expired_sweep_auto_close,-3.3333333333333335,LOSS,edge=0.0800 spread=0.01 depth=3304.8 imbalance=-0.40 source=clob,Round ended before move resolved
7,2026-03-01T16:08:10.483642+00:00,btc-updown-5m-1772381100,1466932,BUY_NO,0.65,15.384615384615383,15.384615384615383,0.15000000000000002,edge=0.1500 spread=0.02 depth=3963.2 imbalance=-0.12 source=clob,clob,12391244219309511238643641958729254867817868679090119766663379978049654440306,2026-03-01T16:08:58.777367+00:00,0.78,auto_take_profit,2.0,WIN,edge=0.1500 spread=0.02 depth=3963.2 imbalance=-0.12 source=clob,
8,2026-03-01T16:08:31.148011+00:00,btc-updown-5m-1772381100,1466932,BUY_NO,0.63,15.873015873015873,15.873015873015873,0.17000000000000004,edge=0.1700 spread=0.01 depth=3159.8 imbalance=0.06 source=clob,clob,12391244219309511238643641958729254867817868679090119766663379978049654440306,2026-03-01T16:08:46.576205+00:00,0.75,auto_take_profit,1.9047619047619047,WIN,edge=0.1700 spread=0.01 depth=3159.8 imbalance=0.06 source=clob,
9,2026-03-01T16:09:38.996991+00:00,btc-updown-5m-1772381100,1466932,BUY_NO,0.71,14.084507042253522,14.084507042253522,0.09000000000000008,edge=0.0900 spread=0.01 depth=3927.6 imbalance=-0.35 source=clob,clob,12391244219309511238643641958729254867817868679090119766663379978049654440306,2026-03-01T16:10:05.604266+00:00,0.48,expired_sweep_auto_close,-3.23943661971831,LOSS,edge=0.0900 spread=0.01 depth=3927.6 imbalance=-0.35 source=clob,Round ended before move resolved
10,2026-03-01T16:10:01.176831+00:00,btc-updown-5m-1772381400,1466934,BUY_NO,0.5,20.0,20.0,0.30000000000000004,edge=0.3000 spread=0.01 depth=4763.8 imbalance=0.04 source=clob,clob,76608295176698257834130952526166931668862607741221738817916555959809303698730,2026-03-01T16:12:03.655688+00:00,0.4,auto_stop_loss,-1.9999999999999996,LOSS,edge=0.3000 spread=0.01 depth=4763.8 imbalance=0.04 source=clob,Stopped out before reversal / adverse move exceeded stop rule
